Year,Units,variable_code,Value
2023,Dollars (millions),H08,6657
2023,Dollars (millions),H09,114
2023,Dollars (millions),H10,20
2023,Dollars (millions),H11,323
2023,Dollars (millions),H12,1044
2023,Dollars (millions),H13,C
2023,Dollars (millions),H17,4413
2023,Dollars (millions),H18,732
2023,Dollars (millions),H20,12
2023,Dollars (millions),H21,1123
2023,Dollars (millions),H22,1067
2023,Dollars (millions),H23,365
2023,Dollars (millions),H24,5232
2023,Dollars (millions),H25,2065
2023,Dollars (millions),H26,721
2023,Dollars (millions),H27,249
2023,Dollars (millions),H28,7
2023,Dollars (millions),H29,2446
2023,Dollars (millions),H30,5232
2023,Dollars (millions),H31,1638
2023,Dollars (millions),H32,1445
2023,Dollars (millions),H33,2149
2023,Dollars,H34,327100
2023,Dollars,H35,16900
2023,Percentage,H36,143
2023,Percentage,H37,69
2023,Percentage,H38,37
2023,Percentage,H39,22
2023,Percentage,H40,7
2023,Percentage,H41,31
2023,Dollars (millions),H01,7551
2023,Dollars (millions),H02,6574
2023,Dollars (millions),H03,865
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,78
2023,Dollars (millions),H08,7079
2023,Dollars (millions),H09,57
2023,Dollars (millions),H10,21
2023,Dollars (millions),H11,133
2023,Dollars (millions),H12,1266
2023,Dollars (millions),H13,0
2023,Dollars (millions),H17,4126
2023,Dollars (millions),H18,1456
2023,Dollars (millions),H20,19
2023,Dollars (millions),H21,775
2023,Dollars (millions),H22,840
2023,Dollars (millions),H23,537
2023,Dollars (millions),H24,4032
2023,Dollars (millions),H25,2127
2023,Dollars (millions),H26,649
2023,Dollars (millions),H27,150
2023,Dollars (millions),H28,63
2023,Dollars (millions),H29,1256
2023,Dollars (millions),H30,4032
2023,Dollars (millions),H31,1358
2023,Dollars (millions),H32,1809
2023,Dollars (millions),H33,865
2023,Dollars,H34,303500
2023,Dollars,H35,21600
2023,Percentage,H36,118
2023,Percentage,H37,71
2023,Percentage,H38,37
2023,Percentage,H39,40
2023,Percentage,H40,13
2023,Percentage,H41,34
2023,Dollars (millions),H01,2353
2023,Dollars (millions),H02,2117
2023,Dollars (millions),H03,216
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,2285
2023,Dollars (millions),H09,20
2023,Dollars (millions),H10,3
2023,Dollars (millions),H11,43
2023,Dollars (millions),H12,288
2023,Dollars (millions),H13,C
2023,Dollars (millions),H17,1301
2023,Dollars (millions),H18,614
2023,Dollars (millions),H20,16
2023,Dollars (millions),H21,227
2023,Dollars (millions),H22,245
2023,Dollars (millions),H23,86
2023,Dollars (millions),H24,1226
2023,Dollars (millions),H25,727
2023,Dollars (millions),H26,206
2023,Dollars (millions),H27,56
2023,Dollars (millions),H28,22
2023,Dollars (millions),H29,293
2023,Dollars (millions),H30,1226
2023,Dollars (millions),H31,163
2023,Dollars (millions),H32,752
2023,Dollars (millions),H33,311
2023,Dollars,H34,636100
2023,Dollars,H35,23200
2023,Percentage,H36,97
2023,Percentage,H37,64
2023,Percentage,H38,39
2023,Percentage,H39,53
2023,Percentage,H40,7
2023,Percentage,H41,13
2023,Dollars (millions),H01,19856
2023,Dollars (millions),H02,4553
2023,Dollars (millions),H03,14947
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,215
2023,Dollars (millions),H08,18401
2023,Dollars (millions),H09,318
2023,Dollars (millions),H10,144
2023,Dollars (millions),H11,669
2023,Dollars (millions),H12,6046
2023,Dollars (millions),H13,0
2023,Dollars (millions),H17,2051
2023,Dollars (millions),H18,9021
2023,Dollars (millions),H20,153
2023,Dollars (millions),H21,377
2023,Dollars (millions),H22,409
2023,Dollars (millions),H23,1488
2023,Dollars (millions),H24,23974
2023,Dollars (millions),H25,5385
2023,Dollars (millions),H26,13015
2023,Dollars (millions),H27,2229
2023,Dollars (millions),H28,938
2023,Dollars (millions),H29,5574
2023,Dollars (millions),H30,23974
2023,Dollars (millions),H31,9163
2023,Dollars (millions),H32,7579
2023,Dollars (millions),H33,7232
2023,Dollars,H34,118000
2023,Dollars,H35,8800
2023,Percentage,H36,71
2023,Percentage,H37,66
2023,Percentage,H38,55
2023,Percentage,H39,16
2023,Percentage,H40,6
2023,Percentage,H41,38
2023,Dollars (millions),H01,4837
2023,Dollars (millions),H02,533
2023,Dollars (millions),H03,4094
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,133
2023,Dollars (millions),H08,4098
2023,Dollars (millions),H09,176
2023,Dollars (millions),H10,92
2023,Dollars (millions),H11,249
2023,Dollars (millions),H12,1197
2023,Dollars (millions),H13,0
2023,Dollars (millions),H17,213
2023,Dollars (millions),H18,2128
2023,Dollars (millions),H20,44
2023,Dollars (millions),H21,89
2023,Dollars (millions),H22,101
2023,Dollars (millions),H23,750
2023,Dollars (millions),H24,14552
2023,Dollars (millions),H25,2721
2023,Dollars (millions),H26,9235
2023,Dollars (millions),H27,1382
2023,Dollars (millions),H28,557
2023,Dollars (millions),H29,2597
2023,Dollars (millions),H30,14552
2023,Dollars (millions),H31,5979
2023,Dollars (millions),H32,3958
2023,Dollars (millions),H33,4615
2023,Dollars,H34,167400
2023,Dollars,H35,26000
2023,Percentage,H36,69
2023,Percentage,H37,66
2023,Percentage,H38,60
2023,Percentage,H39,13
2023,Percentage,H40,5
2023,Percentage,H41,41
2023,Dollars (millions),H01,15019
2023,Dollars (millions),H02,4020
2023,Dollars (millions),H03,10853
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,82
2023,Dollars (millions),H08,14302
2023,Dollars (millions),H09,142
2023,Dollars (millions),H10,52
2023,Dollars (millions),H11,420
2023,Dollars (millions),H12,4849
2023,Dollars (millions),H13,0
2023,Dollars (millions),H17,1838
2023,Dollars (millions),H18,6893
2023,Dollars (millions),H20,109
2023,Dollars (millions),H21,288
2023,Dollars (millions),H22,308
2023,Dollars (millions),H23,738
2023,Dollars (millions),H24,9422
2023,Dollars (millions),H25,2664
2023,Dollars (millions),H26,3781
2023,Dollars (millions),H27,847
2023,Dollars (millions),H28,380
2023,Dollars (millions),H29,2977
2023,Dollars (millions),H30,9422
2023,Dollars (millions),H31,3184
2023,Dollars (millions),H32,3621
2023,Dollars (millions),H33,2617
2023,Dollars,H34,107700
2023,Dollars,H35,5300
2023,Percentage,H36,74
2023,Percentage,H37,65
2023,Percentage,H38,54
2023,Percentage,H39,23
2023,Percentage,H40,8
2023,Percentage,H41,34
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions), dividends and donations"
2023, Postal and Warehousing",Dollars (millions), grants and subsidies"
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial performance
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars (millions),Financial position
2023, Postal and Warehousing",Dollars,Financial ratios
2023, Postal and Warehousing",Dollars,Financial ratios
2023, Postal and Warehousing",Percentage,Financial ratios
2023, Postal and Warehousing",Percentage,Financial ratios
2023, Postal and Warehousing",Percentage,Financial ratios
2023, Postal and Warehousing",Percentage,Financial ratios
2023, Postal and Warehousing",Percentage,Financial ratios
2023,Dollars (millions),H01,12808
2023,Dollars (millions),H04,12439
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,162
2023,Dollars (millions),H08,11747
2023,Dollars (millions),H09,264
2023,Dollars (millions),H10,478
2023,Dollars (millions),H11,884
2023,Dollars (millions),H12,2969
2023,Dollars (millions),H13,1
2023,Dollars (millions),H19,7083
2023,Dollars (millions),H20,69
2023,Dollars (millions),H21,52
2023,Dollars (millions),H22,46
2023,Dollars (millions),H23,1055
2023,Dollars (millions),H24,11970
2023,Dollars (millions),H25,3196
2023,Dollars (millions),H26,6266
2023,Dollars (millions),H27,1280
2023,Dollars (millions),H28,342
2023,Dollars (millions),H29,2509
2023,Dollars (millions),H30,11970
2023,Dollars (millions),H31,4876
2023,Dollars (millions),H32,2889
2023,Dollars (millions),H33,4205
2023,Dollars,H34,309700
2023,Dollars,H35,25500
2023,Percentage,H36,111
2023,Percentage,H37,109
2023,Percentage,H39,22
2023,Percentage,H40,9
2023,Percentage,H41,41
2023,Dollars (millions),H01,12808
2023,Dollars (millions),H04,12439
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,162
2023,Dollars (millions),H08,11747
2023,Dollars (millions),H09,264
2023,Dollars (millions),H10,478
2023,Dollars (millions),H11,884
2023,Dollars (millions),H12,2969
2023,Dollars (millions),H13,1
2023,Dollars (millions),H19,7083
2023,Dollars (millions),H20,69
2023,Dollars (millions),H21,52
2023,Dollars (millions),H22,46
2023,Dollars (millions),H23,1055
2023,Dollars (millions),H24,11970
2023,Dollars (millions),H25,3196
2023,Dollars (millions),H26,6266
2023,Dollars (millions),H27,1280
2023,Dollars (millions),H28,342
2023,Dollars (millions),H29,2509
2023,Dollars (millions),H30,11970
2023,Dollars (millions),H31,4876
2023,Dollars (millions),H32,2889
2023,Dollars (millions),H33,4205
2023,Dollars,H34,309700
2023,Dollars,H35,25500
2023,Percentage,H36,111
2023,Percentage,H37,109
2023,Percentage,H39,22
2023,Percentage,H40,9
2023,Percentage,H41,41
2023, Water, Air and Other Transport",Total income
2023, Water, Air and Other Transport",Sales of goods and services
2023, Water, Air and Other Transport","Interest
2023, Water, Air and Other Transport","Government funding
2023, Water, Air and Other Transport",Non-operating income
2023, Water, Air and Other Transport",Total expenditure
2023, Water, Air and Other Transport",Interest and donations
2023, Water, Air and Other Transport",Indirect taxes
2023, Water, Air and Other Transport",Depreciation
2023, Water, Air and Other Transport",Salaries and wages paid
2023, Water, Air and Other Transport",Redundancy and severance
2023, Water, Air and Other Transport",Purchases and other operating expenses
2023, Water, Air and Other Transport",Non-operating expenses
2023, Water, Air and Other Transport",Opening stocks
2023, Water, Air and Other Transport",Closing stocks
2023, Water, Air and Other Transport",Surplus before income tax
2023, Water, Air and Other Transport",Total assets
2023, Water, Air and Other Transport",Current assets
2023, Water, Air and Other Transport",Fixed tangible assets
2023, Water, Air and Other Transport",Additions to fixed assets
2023, Water, Air and Other Transport",Disposals of fixed assets
2023, Water, Air and Other Transport",Other assets
2023, Water, Air and Other Transport",Total equity and liabilities
2023, Water, Air and Other Transport",Shareholders funds or owners equity
2023, Water, Air and Other Transport",Current liabilities
2023, Water, Air and Other Transport",Other liabilities
2023, Water, Air and Other Transport",Total income per employee count
2023, Water, Air and Other Transport",Surplus per employee count
2023, Water, Air and Other Transport",Current ratio
2023, Water, Air and Other Transport",Quick ratio
2023, Water, Air and Other Transport",Return on equity
2023, Water, Air and Other Transport",Return on total assets
2023, Water, Air and Other Transport",Liabilities structure
2023, Courier, Transport Support,H01
2023, Courier, Transport Support,H04
2023, Courier, Transport Support,H05
2023, Courier, Transport Support,H06
2023, Courier, Transport Support,H07
2023, Courier, Transport Support,H08
2023, Courier, Transport Support,H09
2023, Courier, Transport Support,H10
2023, Courier, Transport Support,H11
2023, Courier, Transport Support,H12
2023, Courier, Transport Support,H13
2023, Courier, Transport Support,H19
2023, Courier, Transport Support,H20
2023, Courier, Transport Support,H21
2023, Courier, Transport Support,H22
2023, Courier, Transport Support,H23
2023, Courier, Transport Support,H24
2023, Courier, Transport Support,H25
2023, Courier, Transport Support,H26
2023, Courier, Transport Support,H27
2023, Courier, Transport Support,H28
2023, Courier, Transport Support,H29
2023, Courier, Transport Support,H30
2023, Courier, Transport Support,H31
2023, Courier, Transport Support,H32
2023, Courier, Transport Support,H33
2023, Courier, Transport Support,H34
2023, Courier, Transport Support,H35
2023, Courier, Transport Support,H36
2023, Courier, Transport Support,H37
2023, Courier, Transport Support,H39
2023, Courier, Transport Support,H40
2023, Courier, Transport Support,H41
2023,Dollars (millions),H01,3181
2023,Dollars (millions),H04,C
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,2818
2023,Dollars (millions),H09,21
2023,Dollars (millions),H10,44
2023,Dollars (millions),H11,123
2023,Dollars (millions),H12,748
2023,Dollars (millions),H13,C
2023,Dollars (millions),H19,1865
2023,Dollars (millions),H20,16
2023,Dollars (millions),H21,21
2023,Dollars (millions),H22,20
2023,Dollars (millions),H23,361
2023,Dollars (millions),H24,2355
2023,Dollars (millions),H25,828
2023,Dollars (millions),H26,520
2023,Dollars (millions),H27,131
2023,Dollars (millions),H28,44
2023,Dollars (millions),H29,1007
2023,Dollars (millions),H30,2355
2023,Dollars (millions),H31,1106
2023,Dollars (millions),H32,664
2023,Dollars (millions),H33,585
2023,Dollars,H34,279100
2023,Dollars,H35,31700
2023,Percentage,H36,125
2023,Percentage,H37,122
2023,Percentage,H39,33
2023,Percentage,H40,15
2023,Percentage,H41,47
2023,Dollars (millions),H01,8020
2023,Dollars (millions),H04,6982
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,7476
2023,Dollars (millions),H09,282
2023,Dollars (millions),H10,C
2023,Dollars (millions),H11,712
2023,Dollars (millions),H12,1970
2023,Dollars (millions),H13,C
2023,Dollars (millions),H19,2806
2023,Dollars (millions),H20,C
2023,Dollars (millions),H21,186
2023,Dollars (millions),H22,235
2023,Dollars (millions),H23,593
2023,Dollars (millions),H24,35792
2023,Dollars (millions),H25,4919
2023,Dollars (millions),H26,27582
2023,Dollars (millions),H27,2560
2023,Dollars (millions),H28,113
2023,Dollars (millions),H29,3292
2023,Dollars (millions),H30,35792
2023,Dollars (millions),H31,25130
2023,Dollars (millions),H32,3933
2023,Dollars (millions),H33,6729
2023,Dollars,H34,386700
2023,Dollars,H35,28600
2023,Percentage,H36,125
2023,Percentage,H37,119
2023,Percentage,H39,2
2023,Percentage,H40,2
2023,Percentage,H41,70
2023,Dollars (millions),H01,2170
2023,Dollars (millions),H04,C
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,47
2023,Dollars (millions),H08,2042
2023,Dollars (millions),H09,92
2023,Dollars (millions),H10,C
2023,Dollars (millions),H11,223
2023,Dollars (millions),H12,442
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,1214
2023,Dollars (millions),H20,C
2023,Dollars (millions),H21,52
2023,Dollars (millions),H22,93
2023,Dollars (millions),H23,169
2023,Dollars (millions),H24,5487
2023,Dollars (millions),H25,903
2023,Dollars (millions),H26,3401
2023,Dollars (millions),H27,524
2023,Dollars (millions),H28,112
2023,Dollars (millions),H29,1183
2023,Dollars (millions),H30,5487
2023,Dollars (millions),H31,2031
2023,Dollars (millions),H32,1124
2023,Dollars (millions),H33,2331
2023,Dollars,H34,341800
2023,Dollars,H35,26600
2023,Percentage,H36,80
2023,Percentage,H37,72
2023,Percentage,H39,8
2023,Percentage,H40,3
2023,Percentage,H41,37
2023,Dollars (millions),H01,18304
2023,Dollars (millions),H04,15955
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,1992
2023,Dollars (millions),H08,16006
2023,Dollars (millions),H09,690
2023,Dollars (millions),H10,40
2023,Dollars (millions),H11,2137
2023,Dollars (millions),H12,2984
2023,Dollars (millions),H13,14
2023,Dollars (millions),H19,9823
2023,Dollars (millions),H20,332
2023,Dollars (millions),H21,342
2023,Dollars (millions),H22,439
2023,Dollars (millions),H23,2394
2023,Dollars (millions),H24,29158
2023,Dollars (millions),H25,6776
2023,Dollars (millions),H26,12404
2023,Dollars (millions),H27,1978
2023,Dollars (millions),H28,232
2023,Dollars (millions),H29,9979
2023,Dollars (millions),H30,29158
2023,Dollars (millions),H31,9915
2023,Dollars (millions),H32,6143
2023,Dollars (millions),H33,13100
2023,Dollars,H34,592600
2023,Dollars,H35,77500
2023,Percentage,H36,110
2023,Percentage,H37,103
2023,Percentage,H39,24
2023,Percentage,H40,8
2023,Percentage,H41,34
2023,Dollars (millions),H01,6302
2023,Dollars (millions),H04,6083
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,19
2023,Dollars (millions),H08,6313
2023,Dollars (millions),H09,46
2023,Dollars (millions),H10,10
2023,Dollars (millions),H11,393
2023,Dollars (millions),H12,1482
2023,Dollars (millions),H13,7
2023,Dollars (millions),H19,4144
2023,Dollars (millions),H20,239
2023,Dollars (millions),H21,159
2023,Dollars (millions),H22,240
2023,Dollars (millions),H23,70
2023,Dollars (millions),H24,5966
2023,Dollars (millions),H25,2846
2023,Dollars (millions),H26,1002
2023,Dollars (millions),H27,256
2023,Dollars (millions),H28,61
2023,Dollars (millions),H29,2117
2023,Dollars (millions),H30,5966
2023,Dollars (millions),H31,2619
2023,Dollars (millions),H32,2405
2023,Dollars (millions),H33,942
2023,Dollars,H34,410700
2023,Dollars,H35,4600
2023,Percentage,H36,118
2023,Percentage,H37,108
2023,Percentage,H39,3
2023,Percentage,H40,1
2023,Percentage,H41,44
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions), dividends and donations"
2023, Internet and Library Services",Dollars (millions), grants and subsidies"
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial performance
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars (millions),Financial position
2023, Internet and Library Services",Dollars,Financial ratios
2023, Internet and Library Services",Dollars,Financial ratios
2023, Internet and Library Services",Percentage,Financial ratios
2023, Internet and Library Services",Percentage,Financial ratios
2023, Internet and Library Services",Percentage,Financial ratios
2023, Internet and Library Services",Percentage,Financial ratios
2023, Internet and Library Services",Percentage,Financial ratios
2023,Dollars (millions),H01,104885
2023,Dollars (millions),H04,26590
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,8028
2023,Dollars (millions),H08,76888
2023,Dollars (millions),H09,36369
2023,Dollars (millions),H10,131
2023,Dollars (millions),H11,1328
2023,Dollars (millions),H12,8890
2023,Dollars (millions),H13,52
2023,Dollars (millions),H14,452
2023,Dollars (millions),H19,20643
2023,Dollars (millions),H20,9075
2023,Dollars (millions),H21,171
2023,Dollars (millions),H22,178
2023,Dollars (millions),H23,28004
2023,Dollars (millions),H24,1476157
2023,Dollars (millions),H25,435234
2023,Dollars (millions),H26,34059
2023,Dollars (millions),H27,8547
2023,Dollars (millions),H28,3758
2023,Dollars (millions),H29,1006865
2023,Dollars (millions),H30,1476157
2023,Dollars (millions),H31,359655
2023,Dollars (millions),H32,691098
2023,Dollars (millions),H33,425404
2023,Dollars,H34,1552800
2023,Dollars,H35,414600
2023,Percentage,H36,63
2023,Percentage,H37,63
2023,Percentage,H39,8
2023,Percentage,H40,2
2023,Percentage,H41,24
2023,Dollars (millions),H01,82438
2023,Dollars (millions),H04,5688
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,56421
2023,Dollars (millions),H09,36072
2023,Dollars (millions),H10,C
2023,Dollars (millions),H11,910
2023,Dollars (millions),H12,4589
2023,Dollars (millions),H13,30
2023,Dollars (millions),H14,C
2023,Dollars (millions),H19,6448
2023,Dollars (millions),H20,8186
2023,Dollars (millions),H21,121
2023,Dollars (millions),H22,126
2023,Dollars (millions),H23,26023
2023,Dollars (millions),H24,1418678
2023,Dollars (millions),H25,404378
2023,Dollars (millions),H26,32647
2023,Dollars (millions),H27,8134
2023,Dollars (millions),H28,3580
2023,Dollars (millions),H29,981653
2023,Dollars (millions),H30,1418678
2023,Dollars (millions),H31,342177
2023,Dollars (millions),H32,664930
2023,Dollars (millions),H33,411571
2023,Dollars,H34,2280100
2023,Dollars,H35,719700
2023,Percentage,H36,61
2023,Percentage,H37,61
2023,Percentage,H39,8
2023,Percentage,H40,2
2023,Percentage,H41,24
2023,Dollars (millions),H01,51668
2023,Dollars (millions),H04,2865
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,954
2023,Dollars (millions),H08,40708
2023,Dollars (millions),H09,30835
2023,Dollars (millions),H10,C
2023,Dollars (millions),H11,733
2023,Dollars (millions),H12,4067
2023,Dollars (millions),H13,29
2023,Dollars (millions),H14,C
2023,Dollars (millions),H19,3600
2023,Dollars (millions),H20,1328
2023,Dollars (millions),H21,29
2023,Dollars (millions),H22,32
2023,Dollars (millions),H23,10963
2023,Dollars (millions),H24,982739
2023,Dollars (millions),H25,309261
2023,Dollars (millions),H26,1232
2023,Dollars (millions),H27,551
2023,Dollars (millions),H28,255
2023,Dollars (millions),H29,672246
2023,Dollars (millions),H30,982739
2023,Dollars (millions),H31,71321
2023,Dollars (millions),H32,605283
2023,Dollars (millions),H33,306136
2023,Dollars,H34,1544800
2023,Dollars,H35,327800
2023,Percentage,H36,51
2023,Percentage,H37,51
2023,Percentage,H39,15
2023,Percentage,H40,1
2023,Percentage,H41,7
2023,Dollars (millions),H01,30770
2023,Dollars (millions),H04,2823
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,15713
2023,Dollars (millions),H09,5237
2023,Dollars (millions),H10,61
2023,Dollars (millions),H11,177
2023,Dollars (millions),H12,522
2023,Dollars (millions),H13,1
2023,Dollars (millions),H14,10
2023,Dollars (millions),H19,2848
2023,Dollars (millions),H20,6858
2023,Dollars (millions),H21,91
2023,Dollars (millions),H22,94
2023,Dollars (millions),H23,15060
2023,Dollars (millions),H24,435939
2023,Dollars (millions),H25,95117
2023,Dollars (millions),H26,31415
2023,Dollars (millions),H27,7583
2023,Dollars (millions),H28,3326
2023,Dollars (millions),H29,309407
2023,Dollars (millions),H30,435939
2023,Dollars (millions),H31,270856
2023,Dollars (millions),H32,59648
2023,Dollars (millions),H33,105435
2023,Dollars,H34,11361400
2023,Dollars,H35,5560800
2023,Percentage,H36,159
2023,Percentage,H37,159
2023,Percentage,H39,6
2023,Percentage,H40,3
2023,Percentage,H41,62
2023,Dollars (millions),H01,12636
2023,Dollars (millions),H04,11811
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,433
2023,Dollars (millions),H08,12280
2023,Dollars (millions),H09,17
2023,Dollars (millions),H10,C
2023,Dollars (millions),H11,131
2023,Dollars (millions),H12,1169
2023,Dollars (millions),H13,5
2023,Dollars (millions),H14,C
2023,Dollars (millions),H19,9980
2023,Dollars (millions),H20,689
2023,Dollars (millions),H21,0
2023,Dollars (millions),H22,0
2023,Dollars (millions),H23,357
2023,Dollars (millions),H24,36447
2023,Dollars (millions),H30,36447
2023,Dollars (millions),H31,9551
2023,Dollars,H34,1252200
2023,Dollars,H35,35300
2023,Percentage,H39,4
2023,Percentage,H40,1
2023,Percentage,H41,26
2023,Dollars (millions),H01,3321
2023,Dollars (millions),H04,2794
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,376
2023,Dollars (millions),H08,3434
2023,Dollars (millions),H09,6
2023,Dollars (millions),H10,2
2023,Dollars (millions),H11,37
2023,Dollars (millions),H12,181
2023,Dollars (millions),H13,3
2023,Dollars (millions),H14,221
2023,Dollars (millions),H19,2355
2023,Dollars (millions),H20,632
2023,Dollars (millions),H21,0
2023,Dollars (millions),H22,0
2023,Dollars (millions),H23,-112
2023,Dollars (millions),H24,16153
2023,Dollars (millions),H30,16153
2023,Dollars (millions),H31,4624
2023,Dollars,H34,2815700
2023,Dollars,H35,-95400
2023,Percentage,H39,-2
2023,Percentage,H40,-1
2023,Percentage,H41,29
2023,Dollars (millions),H01,9315
2023,Dollars (millions),H04,9017
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,57
2023,Dollars (millions),H08,8846
2023,Dollars (millions),H09,11
2023,Dollars (millions),H10,C
2023,Dollars (millions),H11,94
2023,Dollars (millions),H12,988
2023,Dollars (millions),H13,2
2023,Dollars (millions),H14,C
2023,Dollars (millions),H19,7624
2023,Dollars (millions),H20,57
2023,Dollars (millions),H21,0
2023,Dollars (millions),H22,0
2023,Dollars (millions),H23,469
2023,Dollars (millions),H24,20294
2023,Dollars (millions),H30,20294
2023,Dollars (millions),H31,4927
2023,Dollars,H34,1045300
2023,Dollars,H35,52600
2023,Percentage,H39,10
2023,Percentage,H40,2
2023,Percentage,H41,24
2023,Dollars (millions),H01,9810
2023,Dollars (millions),H04,9091
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,8187
2023,Dollars (millions),H09,280
2023,Dollars (millions),H10,23
2023,Dollars (millions),H11,287
2023,Dollars (millions),H12,3132
2023,Dollars (millions),H13,18
2023,Dollars (millions),H14,49
2023,Dollars (millions),H19,4215
2023,Dollars (millions),H20,200
2023,Dollars (millions),H21,51
2023,Dollars (millions),H22,52
2023,Dollars (millions),H23,1624
2023,Dollars (millions),H24,21032
2023,Dollars (millions),H30,21032
2023,Dollars (millions),H31,7928
2023,Dollars,H34,460600
2023,Dollars,H35,76200
2023,Percentage,H39,20
2023,Percentage,H40,8
2023,Percentage,H41,38
2023,Dollars (millions),H01,9810
2023,Dollars (millions),H04,9091
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,C
2023,Dollars (millions),H08,8187
